Regular,IATA,Name,Latitude,Longitude,ICAO,Coloration
Yes,XFW,Finkenwerder,53.533,9.833,EDHI,#FF0000
Yes,TLS,Toulouse,43.627,1.366,LFBO,#800000
Yes,AKZ,Ankara,39.93,32.86,LTAE,#00FF00
Yes,BRE,Bremen,53.047,8.793,EDDW,#008000
Yes,BYF,Méaulte,49.967,2.683,LFAQ,#00FFFF
Yes,CEG,Chester,53.183,-2.97,EGNR,#008080
Yes,EGT,Madrid,40.31,-3.73,LEGT,#0000FF
Yes,IGS,Manching,48.704,11.515,ETSI,#000080
Yes,NTE,Nantes,47.218371,-1.553621,LFRS,#FF00FF
Yes,SNR,Saint-Nazaire,47.2734979,-2.213848,LFRZ,#800080
Yes,SVQ,Sevilla,37.417,-5.883,LEZL,#FFFF00
No,BIA,Bastia,42.55,9.483,LFKB,#808080
No,BOD,Bordeaux,44.83,-0.71,LFBD,#808081
No,LPL,Liverpool,53.334,-2.837,EGGP,#808082
No,LDE,Tarbes,43.186,-0.002,LFBT,#808083
No,PGF,Perpignan,42.74,2.871,LFMP,#808084
